,Random_state,CV_AUC,CV_AUC_SD,Test_AUC,Test_AUC_lCI,Test_AUC_uCI
0,716,0.692,0.077,0.748,0.6347383218640711,0.8613911644131985
0,717,0.725,0.083,0.74,0.6268949510471337,0.8523450208036755
0,718,0.707,0.084,0.756,0.6449346883049,0.8666768528632917
0,719,0.767,0.112,0.588,0.4491860739013106,0.7274500978087529
0,720,0.736,0.051,0.707,0.5767855158196074,0.8363038578608992
0,721,0.709,0.11,0.752,0.6327408928481316,0.8704258911068298
0,722,0.742,0.071,0.682,0.5550434864013548,0.8087848035353095
0,723,0.703,0.08,0.741,0.6161145949282796,0.8659402959936064
0,724,0.727,0.028,0.721,0.6025923192599824,0.8386462451312914
0,725,0.707,0.062,0.745,0.6344160278364128,0.856083620298703
0,726,0.719,0.077,0.73,0.6089390611317912,0.850596477221481
0,727,0.682,0.071,0.764,0.6456783449646265,0.8814152510944867
0,728,0.727,0.027,0.75,0.6386522807049748,0.8616995841789097
0,729,0.72,0.078,0.726,0.6067140880182562,0.8443766931217858
0,730,0.747,0.049,0.643,0.5090085278442107,0.7760020281023059
0,731,0.711,0.05,0.711,0.5941947757649162,0.8287468146643586
0,732,0.71,0.087,0.758,0.6514772755546154,0.8643566442201911
0,733,0.705,0.111,0.773,0.6635203392091831,0.8832776903474671
0,734,0.763,0.07,0.65,0.5187497179599042,0.7817428928775342
0,735,0.773,0.067,0.588,0.44767372257382565,0.7289624491362379
0,736,0.716,0.073,0.753,0.6387057721978588,0.867275930828179
0,737,0.674,0.113,0.749,0.6285421797814608,0.8704022255668853
0,738,0.676,0.095,0.784,0.6783162049720007,0.8895937176177248
0,739,0.741,0.086,0.651,0.5242195413794348,0.7776805289935418
0,740,0.706,0.148,0.74,0.6204211760001465,0.8602262553862011
0,741,0.696,0.105,0.759,0.6460912651384736,0.8725575737074094
0,742,0.725,0.05,0.674,0.5428008543418203,0.8055453807039221
0,743,0.715,0.132,0.742,0.6328757642685261,0.8519940457244368
0,744,0.679,0.078,0.806,0.7019625633940887,0.910986064332864
0,745,0.695,0.057,0.761,0.6495926179337326,0.8732785995187657
0,746,0.729,0.092,0.717,0.5977136337047784,0.8364876330088036
0,747,0.732,0.063,0.706,0.5812787080682058,0.8304032060767623
0,748,0.692,0.076,0.775,0.6646760566878717,0.8849368919398554
0,749,0.726,0.102,0.736,0.6167821276879841,0.8554205464851337
0,750,0.725,0.059,0.71,0.5922513870569527,0.8278752843012457
0,751,0.756,0.102,0.667,0.5350403669802615,0.7992312727100974
0,752,0.728,0.044,0.709,0.5868826091149794,0.8304291431721426
0,753,0.76,0.095,0.656,0.5311527242454182,0.7805995628763271
0,754,0.717,0.057,0.734,0.6116534422803529,0.8563268532861495
0,755,0.714,0.063,0.721,0.6046974902941301,0.8365410740971436
0,756,0.751,0.073,0.685,0.5607145043824607,0.8101510832318953
0,757,0.697,0.05,0.757,0.6365994708333265,0.8778269894059416
0,758,0.742,0.068,0.668,0.5406269211757743,0.7950521780501231
0,759,0.732,0.135,0.708,0.5854895261111631,0.8304147666404204
0,760,0.735,0.08,0.707,0.5876804645947122,0.8254089090857943
0,761,0.72,0.112,0.713,0.5877725034026194,0.8379840060977323
0,762,0.711,0.118,0.735,0.6153713465291569,0.854016408572884
0,763,0.729,0.038,0.702,0.584358637072129,0.8188785198596094
0,764,0.698,0.068,0.76,0.6454553909937685,0.874600907387653
0,765,0.744,0.024,0.67,0.5403456457652639,0.7995558320672486
0,766,0.708,0.056,0.74,0.624605834029245,0.8546341378215642
0,767,0.727,0.049,0.693,0.5573809456008287,0.8289666969044491
0,768,0.654,0.11,0.81,0.7079313092421173,0.9120546161625271
0,769,0.683,0.075,0.759,0.6397362722839424,0.8775051070264022
0,770,0.731,0.075,0.674,0.5440256996898265,0.804320535355916
0,771,0.682,0.073,0.732,0.6112571721882526,0.8525007447716345
0,772,0.721,0.059,0.721,0.5945752388831578,0.846663325508116
0,773,0.698,0.096,0.709,0.5872963159300566,0.8314228958926038
0,774,0.672,0.059,0.799,0.6955792732393462,0.9018872995966849
0,775,0.753,0.09,0.63,0.499150910096431,0.7605253742103951
0,776,0.683,0.11,0.773,0.6524159560640748,0.8943820734925754
0,777,0.679,0.082,0.827,0.7281527404403654,0.9256122138171996
0,778,0.711,0.119,0.759,0.6443553697658568,0.8742934690800261
0,779,0.725,0.026,0.705,0.5868922891490201,0.8233821654604095
0,780,0.732,0.145,0.7,0.5732820415773703,0.8257327367477527
0,781,0.766,0.082,0.599,0.4678894977777365,0.7298585669654022
0,782,0.682,0.121,0.769,0.6626575091879595,0.8756957631554608
0,783,0.728,0.099,0.734,0.6193236321057729,0.8486566634607295
0,784,0.669,0.054,0.785,0.6816251190256851,0.8876922630995788
0,785,0.731,0.035,0.719,0.6022679512605084,0.8361556940596885
0,786,0.781,0.061,0.592,0.4487385471678129,0.7349349222199422
0,787,0.748,0.071,0.649,0.5183166551816805,0.7793610365846813
0,788,0.729,0.125,0.702,0.579523982183288,0.8237131747484503
0,789,0.731,0.048,0.69,0.5566473762030126,0.8240704281601121
0,790,0.677,0.087,0.832,0.7294505650488892,0.9341666059574445
0,791,0.723,0.065,0.716,0.5833671914787262,0.8480191561637793
0,792,0.718,0.105,0.714,0.5898308859099028,0.8373330831259873
