,SVC,RF,LASSO,ADA,mean
499,0.976,0.494,0.203,0.119,0.448
500,0.162,0.133,0.0,0.006,0.07525000000000001
501,0.246,0.103,0.0,0.001,0.0875
502,0.692,0.206,0.01,0.054,0.2405
503,0.502,0.122,0.031,0.012,0.16675
504,0.976,0.583,0.183,0.051,0.44825
505,0.312,0.097,0.0,0.002,0.10275000000000001
506,0.023,0.06,0.001,0.011,0.023749999999999997
507,0.663,0.41,0.008,0.024,0.27625
508,0.864,0.119,0.391,0.055,0.35725
509,0.003,0.389,0.0,0.026,0.10450000000000001
510,0.003,0.347,0.0,0.058,0.102
511,0.618,0.1,0.0,0.014,0.183
512,0.332,0.445,0.107,0.133,0.25425
513,0.291,0.195,0.001,0.063,0.1375
514,0.552,0.189,0.068,0.183,0.24800000000000005
515,0.142,0.103,0.0,0.036,0.07024999999999999
516,0.442,0.529,0.004,0.164,0.28475
517,0.894,0.208,0.005,0.168,0.31875
518,0.015,0.051,0.0,0.004,0.0175
519,0.725,0.28,0.349,0.08,0.3585
520,0.97,0.472,0.351,0.416,0.55225
521,0.171,0.252,0.0,0.062,0.12125000000000001
522,0.33,0.147,0.007,0.008,0.123
523,0.987,0.935,0.908,0.71,0.885
524,0.676,0.417,0.019,0.029,0.28524999999999995
525,0.556,0.228,0.013,0.085,0.2205
526,0.585,0.215,0.202,0.024,0.2565
527,0.092,0.11,0.0,0.012,0.053500000000000006
528,0.628,0.192,0.002,0.052,0.21850000000000003
529,0.424,0.105,0.0,0.071,0.15
530,0.332,0.128,0.095,0.246,0.20025
531,0.999,0.932,0.778,0.736,0.8612500000000001
532,0.579,0.147,0.025,0.07,0.20525
533,0.755,0.198,0.173,0.053,0.29475
534,0.446,0.108,0.023,0.008,0.14625000000000002
535,0.361,0.133,0.022,0.059,0.14375
536,0.517,0.195,0.021,0.021,0.1885
537,0.921,0.211,0.043,0.112,0.32175000000000004
538,0.092,0.122,0.0,0.023,0.05925
539,0.657,0.208,0.641,0.009,0.37875
540,0.463,0.377,0.26,0.043,0.28575
541,0.0,0.177,0.0,0.016,0.04825
542,0.003,0.155,0.069,0.011,0.059500000000000004
543,0.091,0.286,0.003,0.017,0.09925
544,0.416,0.243,0.111,0.055,0.20625000000000002
545,0.993,0.474,0.956,0.379,0.7005
546,0.956,0.06,0.041,0.02,0.26925
547,0.458,0.258,0.009,0.017,0.1855
548,0.345,0.158,0.006,0.009,0.1295
549,0.934,0.838,0.458,0.155,0.59625
550,0.353,0.295,0.002,0.027,0.16924999999999998
551,0.395,0.323,0.0,0.02,0.1845
552,0.016,0.541,0.0,0.014,0.14275000000000002
553,0.27,0.041,0.001,0.012,0.081
554,0.279,0.23,0.004,0.038,0.13775
555,0.61,0.295,0.011,0.013,0.23225
556,0.082,0.157,0.001,0.002,0.0605
557,0.026,0.533,0.0,0.072,0.15775
